Func,Duration,
u_scoring_func,0.008166998624801636,
s_scoring_func,0.0006659924983978271,
calculation,3.033499985933304,
u_scoring_func,0.0015409886837005615,
s_scoring_func,0.00045800209045410156,
calculation,59.866625010967255,
u_scoring_func,0.0024169981479644775,
s_scoring_func,0.0005839765071868896,
calculation,4.074750006198883,
u_scoring_func,0.0009160041809082031,
s_scoring_func,0.000500023365020752,
calculation,56.30474999547005,
u_scoring_func,0.004833996295928955,
s_scoring_func,0.0013749897480010986,
calculation,19.7724170088768,
u_scoring_func,0.0025410056114196777,
s_scoring_func,0.0006670057773590088,
calculation,58.97620898485184,
u_scoring_func,0.0030829906463623047,
s_scoring_func,0.000541985034942627,
calculation,2.625208020210266,
u_scoring_func,0.0034170150756835938,
s_scoring_func,0.0006670057773590088,
calculation,82.83845898509026,
u_scoring_func,0.0036250054836273193,
s_scoring_func,0.0007500052452087402,
calculation,2.65625,
u_scoring_func,0.0012080073356628418,
s_scoring_func,0.0004999935626983643,
calculation,41.12262499332428,
u_scoring_func,0.0032089948654174805,
s_scoring_func,0.0007090270519256592,
calculation,4.827832996845245,
u_scoring_func,0.0016669929027557373,
s_scoring_func,0.0008330047130584717,
calculation,41.738666981458664,
u_scoring_func,0.003542006015777588,
s_scoring_func,0.0007909834384918213,
calculation,4.837709009647369,
u_scoring_func,0.0022500157356262207,
s_scoring_func,0.0007089972496032715,
calculation,45.2321660220623,
u_scoring_func,0.008542001247406006,
s_scoring_func,0.0015410184860229492,
calculation,5.798291981220245,
u_scoring_func,0.0024589896202087402,
s_scoring_func,0.0006670057773590088,
calculation,56.67566701769829,
u_scoring_func,0.0040409862995147705,
s_scoring_func,0.0008330047130584717,
calculation,5.900541990995407,
u_scoring_func,0.002750009298324585,
s_scoring_func,0.000541001558303833,
calculation,53.88120800256729,
u_scoring_func,0.0037080049514770508,
s_scoring_func,0.0005829930305480957,
calculation,2.9576669931411743,
u_scoring_func,0.0012919902801513672,
s_scoring_func,0.00029200315475463867,
calculation,46.902208000421524,
u_scoring_func,0.003915995359420776,
s_scoring_func,0.0006669759750366211,
calculation,5.024583011865616,
u_scoring_func,0.003416985273361206,
s_scoring_func,0.00045800209045410156,
calculation,44.01766702532768,
u_scoring_func,0.0029999911785125732,
s_scoring_func,0.0005830228328704834,
calculation,5.324000000953674,
u_scoring_func,0.0017919838428497314,
s_scoring_func,0.0005829930305480957,
calculation,40.625125020742416,
u_scoring_func,0.0032500028610229492,
s_scoring_func,0.0005829930305480957,
calculation,3.6771249771118164,
u_scoring_func,0.0032089948654174805,
s_scoring_func,0.00045800209045410156,
calculation,39.06012499332428,
u_scoring_func,0.0029999911785125732,
s_scoring_func,0.0006249845027923584,
calculation,4.630499988794327,
u_scoring_func,0.0022920072078704834,
s_scoring_func,0.0005420148372650146,
calculation,38.49449998140335,
u_scoring_func,0.0030829906463623047,
s_scoring_func,0.0004999935626983643,
calculation,4.570959001779556,
u_scoring_func,0.0014169812202453613,
s_scoring_func,0.00045800209045410156,
calculation,41.08075001835823,
u_scoring_func,0.0030420124530792236,
s_scoring_func,0.0004589855670928955,
calculation,2.5747919976711273,
u_scoring_func,0.0021660029888153076,
s_scoring_func,0.0004170238971710205,
calculation,123.52404198050499,
